Prj;File;Usings;ANNOTATOR-1;ANNOTATOR-2;FINAL;CONFLICT
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/GameManager/SystemConfigurationManager.cs;See File Lack_of_separation_of_concern.json;YES;NO;FP;1
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/System/Scripts/UI/Core/Controls/SplitViewDragger.cs;See File Lack_of_separation_of_concern.json;NO;NO;FP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/UI/Slots/QuirkSlot.cs;See File Lack_of_separation_of_concern.json;NO;NO;FP;
/home/videogames/dataset/simulator;/home/videogames/dataset/simulator/Packages/com.unity.render-pipelines.high-definition/Editor/Material/StackLit/ShaderGraph/StackLitSurfaceOptionPropertyBlock.cs;See File Lack_of_separation_of_concern.json;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/System/Scripts/Services/GameUIManager.cs;See File Lack_of_separation_of_concern.json;YES;YES;TP;
/home/videogames/dataset/cytoid;/home/videogames/dataset/cytoid/Assets/Packages/Coffee/UIExtensions/SoftMaskForUGUI/Scripts/SoftMaskable.cs;See File Lack_of_separation_of_concern.json;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/System/Scripts/Services/DebugTools/DebugStat.cs;See File Lack_of_separation_of_concern.json;YES;YES;TP;
/home/videogames/dataset/simulator;/home/videogames/dataset/simulator/Packages/com.unity.render-pipelines.high-definition/Editor/Lighting/DiffusionProfileOverrideEditor.cs;See File Lack_of_separation_of_concern.json;NO;NO;FP;
/home/videogames/dataset/inputsystem;/home/videogames/dataset/inputsystem/Assets/Samples/InputRecorder/InputRecorder.cs;See File Lack_of_separation_of_concern.json;NO;NO;FP;
/home/videogames/dataset/inputsystem/;/home/videogames/dataset/inputsystem/Assets/Samples/RebindingUI/RebindActionUI.cs;See File Lack_of_separation_of_concern.json;YES;NO;FP;1
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Plugins/RuntimeInspector/Scripts/RuntimeHierarchy/HierarchyField.cs;See File Lack_of_separation_of_concern.json;NO;NO;FP;
