Prj;File;Class;Method;ConditionBlock;Line;ANNOTATOR-1;ANNOTATOR-2;FINAL;CONFLICT
/home/videogames/dataset/multiplayer-fps;/home/videogames/dataset/multiplayer-fps/Assets/Standard Assets/Characters/FirstPersonCharacter/Scripts/FirstPersonController.cs;UnityStandardAssets.Characters.FirstPerson.FirstPersonController;UnityStandardAssets.Characters.FirstPerson.FirstPersonController.FixedUpdate();IfBlocks;229;YES;YES;TP;
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/Functional Definitions/Interaction Definitions/TractorBeam.cs;TractorBeam;TractorBeam.Update();IfBlocks;168;YES;YES;TP;
/home/videogames/dataset/openkcc;/home/videogames/dataset/openkcc/Packages/com.nickmaltbie.openkcc/OpenKCC/Character/KinematicCharacterController.cs;nickmaltbie.OpenKCC.Character.KinematicCharacterController;nickmaltbie.OpenKCC.Character.KinematicCharacterController.FixedUpdate();IfBlocks;897;YES;NO;TP;1
/home/videogames/dataset/lcc;/home/videogames/dataset/lcc/Assets/Scripts/Runtime/Core/Manager/Download/DownloadManager.cs;LccModel.DownloadManager;LccModel.DownloadManager.Update();IfBlocks;129;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Photon Unity Networking/Demos/PunBasics-Tutorial/Scripts/PlayerManager.cs;ExitGames.Demos.DemoAnimator.PlayerManager;ExitGames.Demos.DemoAnimator.PlayerManager.Update();IfBlocks;141;NO;YES;TP;1
/home/videogames/dataset/project-404;/home/videogames/dataset/project-404/Assets/Scripts/_Objects/Enemy/BaldyLongLegs.cs;BaldyLongLegs;BaldyLongLegs.Update();IfBlocks;348;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Plugins/RuntimeSceneGizmo/Scripts/SceneGizmoRenderer.cs;RuntimeSceneGizmo.SceneGizmoRenderer;RuntimeSceneGizmo.SceneGizmoRenderer.Update();IfBlocks;79;NO;NO;FP;
/home/videogames/dataset/egameplay;/home/videogames/dataset/egameplay/Assets/ExplosiveLLC/RPG Character Animation Pack FREE/Code/RPGCharacterControllerFREE.cs;RPGCharacterAnimsFREE.RPGCharacterControllerFREE;RPGCharacterAnimsFREE.RPGCharacterControllerFREE.Update();IfBlocks;236;YES;NO;TP;1
/home/videogames/dataset/card-game-simulator;/home/videogames/dataset/card-game-simulator/Assets/Mirror/Examples/Room/Scripts/PlayerController.cs;Mirror.Examples.NetworkRoom.PlayerController;Mirror.Examples.NetworkRoom.PlayerController.Update();IfBlocks;67;NO;YES;TP;1
/home/videogames/dataset/hogwarts;/home/videogames/dataset/hogwarts/Assets/Models/AQUAS-Lite/Demo/SplineController/SplineInterpolator.cs;SplineInterpolator;SplineInterpolator.Update();IfBlocks;152;YES;NO;FP;1
/home/videogames/dataset/openkcc;/home/videogames/dataset/openkcc/Packages/com.nickmaltbie.openkcc/OpenKCC/Character/CameraController.cs;nickmaltbie.OpenKCC.Character.CameraController;nickmaltbie.OpenKCC.Character.CameraController.Update();IfBlocks;316;NO;YES;TP;1
/home/videogames/dataset/card-game-simulator;/home/videogames/dataset/card-game-simulator/Assets/Scripts/Cgs/Decks/CardSelector.cs;Cgs.Decks.CardSelector;Cgs.Decks.CardSelector.Update();IfBlocks;126;YES;YES;TP;
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/Functional Definitions/Abilities/AbilityButtonScript.cs;AbilityButtonScript;AbilityButtonScript.Update();IfBlocks;209;YES;NO;TP;1
/home/videogames/dataset/antura;/home/videogames/dataset/antura/Assets/_core/_scripts/AnturaSpace/Dog/AnturaLocomotion.cs;Antura.AnturaSpace.AnturaLocomotion;Antura.AnturaSpace.AnturaLocomotion.Update();IfBlocks;254;YES;YES;TP;
/home/videogames/dataset/gold-player;/home/videogames/dataset/gold-player/Assets/Hertzole/Gold Player/Scripts/Runtime/UI/GoldPlayerUI.cs;Hertzole.GoldPlayer.GoldPlayerUI;Hertzole.GoldPlayer.GoldPlayerUI.Update();IfBlocks;321;YES;NO;TP;1
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/HUD Scripts/ReticleScript.cs;ReticleScript;ReticleScript.Update();IfBlocks;264;YES;YES;TP;
/home/videogames/dataset/antura;/home/videogames/dataset/antura/Assets/_games/Maze/_scripts/MazeCharacter.cs;Antura.Minigames.Maze.MazeCharacter;Antura.Minigames.Maze.MazeCharacter.FixedUpdate();IfBlocks;1101;YES;YES;TP;
/home/videogames/dataset/egameplay;/home/videogames/dataset/egameplay/Assets/ExplosiveLLC/RPG Character Animation Pack FREE/Code/RPGCharacterControllerFREE.cs;RPGCharacterAnimsFREE.RPGCharacterControllerFREE;RPGCharacterAnimsFREE.RPGCharacterControllerFREE.Update();IfBlocks;133;YES;NO;TP;1
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/HUD Scripts/MinimapArrowScript.cs;MinimapArrowScript;MinimapArrowScript.Update();IfBlocks;157;NO;NO;FP;
/home/videogames/dataset/aitd-roomviewer;/home/videogames/dataset/aitd-roomviewer/Assets/Scripts/Model/ModelLoader.cs;ModelLoader;ModelLoader.Update();IfBlocks;1406;YES;NO;FP;1
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Plugins/RuntimeInspector/Scripts/RuntimeHierarchy.cs;RuntimeInspectorNamespace.RuntimeHierarchy;RuntimeInspectorNamespace.RuntimeHierarchy.Update();IfBlocks;468;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Plugins/RuntimeInspector/Scripts/RuntimeInspector/Skin/SkinnedWindow.cs;RuntimeInspectorNamespace.SkinnedWindow;RuntimeInspectorNamespace.SkinnedWindow.Update();IfBlocks;42;NO;NO;FP;
/home/videogames/dataset/project-404;/home/videogames/dataset/project-404/Assets/Scripts/_Player/PlayerMovementController.cs;PlayerMovementController;PlayerMovementController.Update();IfBlocks;94;NO;YES;TP;1
/home/videogames/dataset/project-404;/home/videogames/dataset/project-404/Assets/Scripts/_Objects/Pikmin/PikminCarryObject.cs;PikminCarryObject;PikminCarryObject.Update();IfBlocks;142;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/Characters/BaseClasses/UnitMotor.cs;AnyRPG.UnitMotor;AnyRPG.UnitMotor.FixedUpdate();IfBlocks;123;YES;NO;TP;1
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/Actions/2D/JCS_2DSkills.cs;JCSUnity.JCS_2DSkills;JCSUnity.JCS_2DSkills.Update();IfBlocks;129;NO;NO;FP;
/home/videogames/dataset/ss3d;/home/videogames/dataset/ss3d/Assets/Scripts/External/FishNet/Runtime/Generated/Component/NetworkAnimator/NetworkAnimator.cs;FishNet.Component.Animating.NetworkAnimator;FishNet.Component.Animating.NetworkAnimator.Update();IfBlocks;563;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/Script/RoleMove/PlayerControl.cs;PlayerControl;PlayerControl.FixedUpdate();IfBlocks;192;NO;YES;TP;1
/home/videogames/dataset/nsmb-mariovsluigi;/home/videogames/dataset/nsmb-mariovsluigi/Assets/Scripts/Entity/Player/PlayerAnimationController.cs;PlayerAnimationController;PlayerAnimationController.Update();IfBlocks;84;YES;YES;TP;
/home/videogames/dataset/warkingdoms;/home/videogames/dataset/warkingdoms/Assets/Scripts/Managers/InputManager.cs;InputManager;InputManager.Update();IfBlocks;147;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/Script/CommonUI/MyGridLayout.cs;MyGridLayout;MyGridLayout.Update();IfBlocks;569;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Plugins/Graphy - Ultimate Stats Monitor/Runtime/GraphyManager.cs;Tayx.Graphy.GraphyManager;Tayx.Graphy.GraphyManager.Update();IfBlocks;712;YES;YES;TP;
/home/videogames/dataset/antura_arabic;/home/videogames/dataset/antura_arabic/Assets/_games/ColorTickle/_scripts/TutorialUIManager.cs;Antura.Minigames.ColorTickle.TutorialUIManager;Antura.Minigames.ColorTickle.TutorialUIManager.Update();IfBlocks;36;YES;YES;TP;
/home/videogames/dataset/thats-ridiculous;/home/videogames/dataset/thats-ridiculous/Assets/Scripts/Player/PlayerMovement.cs;PlayerMovement;PlayerMovement.FixedUpdate();IfBlocks;65;YES;YES;TP;
/home/videogames/dataset/nova;/home/videogames/dataset/nova/Assets/Nova/Sources/Core/Input/CursorManager.cs;Nova.CursorManager;Nova.CursorManager.Update();IfBlocks;53;NO;NO;FP;
/home/videogames/dataset/warkingdoms;/home/videogames/dataset/warkingdoms/Assets/Scripts/Object Base/Unit.cs;Unit;Unit.Update();IfBlocks;147;YES;YES;TP;
/home/videogames/dataset/unity3d-lolo;/home/videogames/dataset/unity3d-lolo/Assets/Framework/ShibaInu/Net/KCP.cs;ShibaInu.KCP;ShibaInu.KCP.Update(uint);IfBlocks;869;YES;YES;TP;
/home/videogames/dataset/stream-chat-unity;/home/videogames/dataset/stream-chat-unity/Assets/Plugins/StreamChat/Core/StreamChatClient.cs;StreamChat.Core.StreamChatClient;StreamChat.Core.StreamChatClient.Update(float);IfBlocks;685;YES;NO;FP;1
/home/videogames/dataset/fancyscrollview;/home/videogames/dataset/fancyscrollview/Assets/FancyScrollView/Sources/Runtime/Scroller/Scroller.cs;FancyScrollView.Scroller;FancyScrollView.Scroller.Update();IfBlocks;522;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Game/Scripts/Native/Small/FreeCamera.cs;Ballance2.Game.FreeCamera;Ballance2.Game.FreeCamera.Update();IfBlocks;244;YES;YES;TP;
/home/videogames/dataset/unity3d-lolo;/home/videogames/dataset/unity3d-lolo/Assets/Framework/ShibaInu/Utils/Timer.cs;ShibaInu.Timer;ShibaInu.Timer.Update();IfBlocks;108;YES;NO;TP;1
/home/videogames/dataset/mirage;/home/videogames/dataset/mirage/Assets/Mirage/Runtime/SyncVarSender.cs;Mirage.SyncVarSender;Mirage.SyncVarSender.Update();IfBlocks;26;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Spine/SpineUnity/SkeletonUtility/SkeletonUtility.cs;SkeletonUtility;SkeletonUtility.Update();IfBlocks;127;NO;NO;FP;
/home/videogames/dataset/nice-lua;/home/videogames/dataset/nice-lua/Assets/EasyTouchBundle/EasyTouch/Plugins/Engine/EasyTouch.cs;HedgehogTeam.EasyTouch.EasyTouch;HedgehogTeam.EasyTouch.EasyTouch.Update();SwitchBlocks;736;YES;YES;TP;
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Thirdparty/Usfxr/Scripts/SfxrAudioPlayer.cs;SfxrAudioPlayer;SfxrAudioPlayer.Update();IfBlocks;63;NO;NO;FP;
/home/videogames/dataset/mapboxargame;/home/videogames/dataset/mapboxargame/Assets/Mapbox/Unity/Map/QuadTreeTileProvider.cs;Mapbox.Unity.Map.QuadTreeTileProvider;Mapbox.Unity.Map.QuadTreeTileProvider.Update();IfBlocks;188;NO;NO;FP;
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/Game Object Definitions/Entity Definitions/AirCraft.cs;AirCraft;AirCraft.FixedUpdate();IfBlocks;76;YES;NO;FP;1
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/EasyTouchBundle/EasyTouchControls/Plugins/ETCBase.cs;ETCBase;ETCBase.FixedUpdate();IfBlocks;225;NO;NO;FP;
/home/videogames/dataset/cytoid;/home/videogames/dataset/cytoid/Assets/Scripts/Navigation/Elements/ActionTabs.cs;ActionTabs;ActionTabs.Update();IfBlocks;111;NO;NO;FP;
/home/videogames/dataset/unity3d-lolo;/home/videogames/dataset/unity3d-lolo/Assets/Framework/ShibaInu/Net/KCP.cs;ShibaInu.KCP;ShibaInu.KCP.Update(uint);IfBlocks;788;YES;YES;TP;
/home/videogames/dataset/mapboxargame;/home/videogames/dataset/mapboxargame/Assets/Mapbox/Examples/2_AstronautGame/AstronautGame/Astronaut/AstronautMouseController.cs;Mapbox.Examples.AstronautMouseController;Mapbox.Examples.AstronautMouseController.Update();IfBlocks;77;YES;NO;FP;1
/home/videogames/dataset/towerdefense-gameframework-demo;/home/videogames/dataset/towerdefense-gameframework-demo/Assets/GameFramework/Scripts/Runtime/Resource/EditorResourceComponent.cs;UnityGameFramework.Runtime.EditorResourceComponent;UnityGameFramework.Runtime.EditorResourceComponent.Update();IfBlocks;615;YES;YES;TP;
/home/videogames/dataset/antura;/home/videogames/dataset/antura/Assets/_games/Scanner/_scripts/ScannerDevice.cs;Antura.Minigames.Scanner.ScannerDevice;Antura.Minigames.Scanner.ScannerDevice.Update();IfBlocks;114;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Photon Unity Networking/UtilityScripts/NetworkCullingHandler.cs;NetworkCullingHandler;NetworkCullingHandler.Update();IfBlocks;138;YES;NO;FP;1
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Spine/SpineUnity/Editor/SkeletonDataAssetInspector.cs;SkeletonDataAssetInspector;SkeletonDataAssetInspector.Update();IfBlocks;743;NO;NO;FP;
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/Effects/JCS_FadeSound.cs;JCSUnity.JCS_FadeSound;JCSUnity.JCS_FadeSound.Update();IfBlocks;54;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/Camera/CameraShader.cs;AnyRPG.CameraShader;AnyRPG.CameraShader.Update();IfBlocks;64;YES;YES;TP;
/home/videogames/dataset/sanandreasunity;/home/videogames/dataset/sanandreasunity/Assets/Scripts/Behaviours/World/DayTimeManager.cs;SanAndreasUnity.Behaviours.World.DayTimeManager;SanAndreasUnity.Behaviours.World.DayTimeManager.Update();IfBlocks;95;NO;NO;FP;
/home/videogames/dataset/project-404;/home/videogames/dataset/project-404/Assets/Scripts/Utilities/CarryText.cs;CarryText;CarryText.Update();IfBlocks;27;NO;NO;FP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/KY_effects/Script/ConGUI.cs;ConGUI;ConGUI.Update();IfBlocks;44;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/GPUInstancer/Scripts/GPUInstancerInstanceRemover.cs;GPUInstancer.GPUInstancerInstanceRemover;GPUInstancer.GPUInstancerInstanceRemover.Update();IfBlocks;27;YES;YES;TP;
/home/videogames/dataset/com.unity.multiplayer.samples.coop;/home/videogames/dataset/com.unity.multiplayer.samples.coop/Assets/Scripts/Gameplay/GameplayObjects/TossedItem.cs;Unity.BossRoom.Gameplay.GameplayObjects.TossedItem;Unity.BossRoom.Gameplay.GameplayObjects.TossedItem.FixedUpdate();IfBlocks;141;YES;YES;TP;
/home/videogames/dataset/nice-lua;/home/videogames/dataset/nice-lua/Assets/EasyTouchBundle/EasyTouch/Plugins/Engine/EasyTouch.cs;HedgehogTeam.EasyTouch.EasyTouch;HedgehogTeam.EasyTouch.EasyTouch.Update();IfBlocks;962;YES;YES;TP;
/home/videogames/dataset/nsmb-mariovsluigi;/home/videogames/dataset/nsmb-mariovsluigi/Assets/Scripts/Entity/Enemy/KillableEntity.cs;KillableEntity;KillableEntity.FixedUpdate();IfBlocks;75;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/ExplosiveLLC/RPG Character Mecanim Animation Pack FREE/Code/RPGCharacterInputController.cs;RPGCharacterAnimsFREE.RPGCharacterInputController;RPGCharacterAnimsFREE.RPGCharacterInputController.Update();IfBlocks;162;YES;YES;TP;
/home/videogames/dataset/project-404;/home/videogames/dataset/project-404/Assets/Scripts/_Objects/Pikmin/Onion.cs;Onion;Onion.Update();IfBlocks;116;YES;YES;TP;
/home/videogames/dataset/simulator;/home/videogames/dataset/simulator/Assets/Scripts/Sensors/CameraSensorBase.cs;Simulator.Sensors.CameraSensorBase;Simulator.Sensors.CameraSensorBase.Update();IfBlocks;370;NO;NO;FP;
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/Functional Definitions/Interaction Definitions/SectorManager.cs;SectorManager;SectorManager.Update();IfBlocks;268;YES;YES;TP;
/home/videogames/dataset/aitd-roomviewer;/home/videogames/dataset/aitd-roomviewer/Assets/Scripts/Room/RoomLoader.cs;RoomLoader;RoomLoader.Update();IfBlocks;787;YES;YES;TP;
/home/videogames/dataset/egameplay;/home/videogames/dataset/egameplay/Assets/ExplosiveLLC/SuperCharacterController/SuperCharacterController/Core/SuperCharacterController.cs;SuperCharacterController;SuperCharacterController.Update();IfBlocks;215;NO;YES;TP;1
/home/videogames/dataset/peco;/home/videogames/dataset/peco/Assets/_SourceCode/Player/PlayerController.cs;PlayerController;PlayerController.FixedUpdate();IfBlocks;181;YES;NO;TP;1
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Photon Unity Networking/Plugins/PhotonNetwork/Views/PhotonTransformView.cs;PhotonTransformView;PhotonTransformView.Update();IfBlocks;68;NO;NO;FP;
/home/videogames/dataset/antura;/home/videogames/dataset/antura/Assets/_games/ReadingGame/_scripts/AnturaStates/IdleAnturaState.cs;Antura.Minigames.ReadingGame.IdleAnturaState;Antura.Minigames.ReadingGame.IdleAnturaState.Update(float);IfBlocks;64;YES;YES;TP;
/home/videogames/dataset/nice-lua;/home/videogames/dataset/nice-lua/Assets/EasyTouchBundle/EasyTouch/Plugins/Engine/EasyTouch.cs;HedgehogTeam.EasyTouch.EasyTouch;HedgehogTeam.EasyTouch.EasyTouch.Update();IfBlocks;671;YES;YES;TP;
/home/videogames/dataset/ballance;/home/videogames/dataset/ballance/Assets/Plugins/Graphy - Ultimate Stats Monitor/Runtime/Audio/G_AudioText.cs;Tayx.Graphy.Audio.G_AudioText;Tayx.Graphy.Audio.G_AudioText.Update();IfBlocks;51;NO;NO;FP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/Animancer/Examples/06 State Machines/01 Game Manager/GameManagerEnum.cs;Animancer.Examples.StateMachines.GameManager.GameManagerEnum;Animancer.Examples.StateMachines.GameManager.GameManagerEnum.Update();IfBlocks;142;YES;YES;TP;
/home/videogames/dataset/antura_arabic;/home/videogames/dataset/antura_arabic/Assets/_games/Tobogan/_scripts/AudioInnerLooper.cs;Antura.Minigames.Tobogan.AudioInnerLooper;Antura.Minigames.Tobogan.AudioInnerLooper.Update();IfBlocks;71;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/Setup/ContentLoading/PreambleSkipper.cs;PreambleSkipper;PreambleSkipper.Update();IfBlocks;28;YES;YES;TP;
/home/videogames/dataset/mapboxargame;/home/videogames/dataset/mapboxargame/Assets/GoogleARCore/Examples/ComputerVision/Scripts/TextureReader.cs;GoogleARCore.TextureReader.TextureReader;GoogleARCore.TextureReader.TextureReader.Update();SwitchBlocks;135;YES;NO;FP;1
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/Scripts/Functional Definitions/Interaction Definitions/TractorBeam.cs;TractorBeam;TractorBeam.FixedUpdate();IfBlocks;219;YES;YES;TP;
/home/videogames/dataset/project-404;/home/videogames/dataset/project-404/Assets/Scripts/_Player/Whistle/WhistleController.cs;WhistleController;WhistleController.Update();IfBlocks;189;YES;NO;TP;1
/home/videogames/dataset/simulator;/home/videogames/dataset/simulator/Assets/Scripts/ScenarioEditor/Input/InputManager.cs;Simulator.ScenarioEditor.Input.InputManager;Simulator.ScenarioEditor.Input.InputManager.Update();IfBlocks;898;YES;YES;TP;
/home/videogames/dataset/peco;/home/videogames/dataset/peco/Assets/_SourceCode/Player/PlayerController.cs;PlayerController;PlayerController.FixedUpdate();IfBlocks;146;YES;YES;TP;
/home/videogames/dataset/egameplay;/home/videogames/dataset/egameplay/Assets/Plugins/Animancer/Internal/Core/SoloAnimation.cs;Animancer.SoloAnimation;Animancer.SoloAnimation.Update();IfBlocks;293;NO;YES;FP;1
/home/videogames/dataset/com.unity.multiplayer.samples.coop;/home/videogames/dataset/com.unity.multiplayer.samples.coop/Assets/Scripts/Gameplay/GameplayObjects/Projectiles/PhysicsProjectile.cs;Unity.BossRoom.Gameplay.GameplayObjects.PhysicsProjectile;Unity.BossRoom.Gameplay.GameplayObjects.PhysicsProjectile.FixedUpdate();IfBlocks;146;YES;YES;TP;
/home/videogames/dataset/shellcore;/home/videogames/dataset/shellcore/Assets/World Creator Assets/Scripts/WorldCreatorCursor.cs;WorldCreatorCursor;WorldCreatorCursor.Update();IfBlocks;208;YES;NO;TP;1
/home/videogames/dataset/peco;/home/videogames/dataset/peco/Assets/_SourceCode/Enemies/EnemyBase.cs;EnemyBase;EnemyBase.Update();IfBlocks;55;YES;NO;TP;1
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/UI/DeltaNumber/JCS_TextDeltaNumber.cs;JCSUnity.JCS_TextDeltaNumber;JCSUnity.JCS_TextDeltaNumber.Update();IfBlocks;203;YES;YES;TP;
/home/videogames/dataset/voxelfield;/home/videogames/dataset/voxelfield/Packages/Swihoni.Sessions/Runtime/Interfaces/ConsoleInterface.cs;Swihoni.Sessions.Interfaces.ConsoleInterface;Swihoni.Sessions.Interfaces.ConsoleInterface.Update();IfBlocks;103;YES;YES;TP;
/home/videogames/dataset/inputsystem;/home/videogames/dataset/inputsystem/Assets/QA/Tests/EditMode/EditModeGhostCam.cs;EditModeGhostCam;EditModeGhostCam.Update();IfBlocks;81;NO;NO;FP;
/home/videogames/dataset/antura_arabic;/home/videogames/dataset/antura_arabic/Assets/_games/Tobogan/_scripts/LettersTower.cs;Antura.Minigames.Tobogan.LettersTower;Antura.Minigames.Tobogan.LettersTower.Update();IfBlocks;193;YES;YES;TP;
