Prj;File;Kind;Type;FullName;Line;ANNOTATOR-1;ANNOTATOR-2;FINAL;CONFLICT
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/Animancer/Examples/07 Layers/LayerExample.cs;Field;AnimancerComponent;Animancer.Examples.Layers.LayerExample._LayeredAnimancer;20;NO;YES;TP;1
/home/videogames/dataset/inputsystem;/home/videogames/dataset/inputsystem/Packages/com.unity.inputsystem/InputSystem/Actions/InputAction.cs;Field;InputBinding[];UnityEngine.InputSystem.InputAction.m_SingletonActionBindings;1436;YES;YES;TP;
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/Commands/ClearMenu.cs;Field;MenuDialog;Fungus.ClearMenu.menuDialog;17;NO;YES;TP;1
/home/videogames/dataset/gold-player;/home/videogames/dataset/gold-player/Assets/Hertzole/Gold Player/Scripts/Runtime/Animator/GoldPlayerAnimator.cs;Field;GoldPlayerAnimatorParameterInfo;Hertzole.GoldPlayer.GoldPlayerAnimator.moveY;53;NO;NO;FP;
/home/videogames/dataset/com.unity.multiplayer.samples.coop;/home/videogames/dataset/com.unity.multiplayer.samples.coop/Assets/Scripts/Gameplay/GameplayObjects/RuntimeDataContainers/GameDataSource.cs;Field;Action;Unity.BossRoom.Gameplay.GameplayObjects.GameDataSource.m_GeneralTargetActionPrototype;31;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/UI/Windows/CharacterWindow.cs;Field;HeroDisplayPanel;CharacterWindow.displayPanel;33;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/Lean/Pool/Examples/Scripts/LeanPoolDebugger.cs;Field;LeanGameObjectPool;Lean.Pool.Examples.LeanPoolDebugger.cachedPool;13;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/Animancer/Examples/06 State Machines/01 Game Manager/GameManagerEnum.cs;Field;Events.GolfHitController;Animancer.Examples.StateMachines.GameManager.GameManagerEnum._Golfer;30;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/Raid/Events/ScrollMealEvent.cs;Field;List<MealSlot>;ScrollMealEvent.mealSlots;12;YES;YES;TP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/Raid/Battle/BattleGround.cs;Field;SharedHealthInfo;BattleGround.sharedHealthRecord;19;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Graphs/ParentGraph.cs;Field;UsageListTexturePropertyNodes;AmplifyShaderEditor.ParentGraph.m_texturePropertyNodes;64;NO;NO;FP;
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/Commands/Property/TextureProperty.cs;Field;Variable;Fungus.TextureProperty.inOutVar;40;NO;NO;FP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Plugins/Editor/FMOD/EventCache.cs;Field;List<EditorBankRef>;FMODUnity.EventCache.EditorBanks;13;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/Interactables/BehaviorConfig.cs;Field;BehaviorProps;AnyRPG.BehaviorConfig.interactableOptionProps;15;NO;NO;FP;
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/GameObject/2D/2DClimbableObject/JCS_2DClimbableObject.cs;Field;JCS_2DPositionPlatform;JCSUnity.JCS_2DClimbableObject.mPositionPlatform;34;YES;YES;TP;
/home/videogames/dataset/com.unity.multiplayer.samples.coop;/home/videogames/dataset/com.unity.multiplayer.samples.coop/Assets/Scripts/Gameplay/GameplayObjects/Character/ServerAnimationHandler.cs;Field;VisualizationConfiguration;Unity.BossRoom.Gameplay.GameplayObjects.Character.ServerAnimationHandler.m_VisualizationConfiguration;16;YES;YES;TP;
/home/videogames/dataset/unity3d-lolo;/home/videogames/dataset/unity3d-lolo/Assets/Framework/ShibaInu/Components/ViewPager.cs;Field;PageTransformerType;ShibaInu.ViewPager.m_transformerType;209;NO;NO;FP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/UI/Controls/QuickParameterTip.cs;Field;ToolTipSize;QuickParameterTip.tipSize;11;NO;NO;FP;
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/UI/Dialogue/JCS_TalkObject.cs;Field;JCS_DialogueScript;JCSUnity.JCS_TalkObject.mDialogueScript;24;YES;YES;TP;
/home/videogames/dataset/antura_arabic;/home/videogames/dataset/antura_arabic/Assets/_games/ColorTickle/_scripts/ColorTickle_AnturaController.cs;Field;AnturaAnimationStates;Antura.Minigames.ColorTickle.ColorTickle_AnturaController.m_eAnimationOnMoving;41;NO;NO;FP;
/home/videogames/dataset/cytoid;/home/videogames/dataset/cytoid/Assets/Plugins/IngameDebugConsole/Scripts/DebugLogManager.cs;Field;DebugLogRecycledListView;IngameDebugConsole.DebugLogManager.recycledListView;174;NO;YES;TP;1
/home/videogames/dataset/jcsunity;/home/videogames/dataset/jcsunity/Assets/JCSUnity/Scripts/Managers/Others/JCS_PortalManager.cs;Field;JCS_2DPortal[];JCSUnity.JCS_PortalManager.mPortals;24;YES;NO;TP;1
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/Commands/Portrait.cs;Field;Character;Fungus.Portrait.character;20;YES;YES;TP;
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/EventHandlers/Drag/DragExited.cs;Field;Draggable2D;Fungus.DragExited.draggableObject;42;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Templates/TemplatesStencilBufferModule.cs;Field;InlineProperty;AmplifyShaderEditor.TemplatesStencilBufferModule.m_comparisonFunctionBackIdx;56;NO;NO;FP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/UI/PanelControllers/SystemBarController.cs;Field;SystemPanelButton;AnyRPG.SystemBarController.abilityBookButton;19;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/GameManager/UIManagers/UIManager.cs;Field;CutSceneBarController;AnyRPG.UIManager.cutSceneBarController;78;YES;YES;TP;
/home/videogames/dataset/bdframework.core;/home/videogames/dataset/bdframework.core/Packages/com.popo.bdframework/3rdPlugins/AssetGraph-1.8-release-BD/Editor/System/Node/Buitin/Grouping.cs;Field;SerializableMultiTargetString;UnityEngine.AssetGraph.Grouping.m_groupingKeyword;20;YES;YES;TP;
/home/videogames/dataset/simulator;/home/videogames/dataset/simulator/Assets/Scripts/Map/LineDetection/LaneLineOverride.cs;Field;List<LaneLineOverrideData>;Simulator.Map.LineDetection.LaneLineOverride.values;21;YES;YES;TP;
/home/videogames/dataset/cytoid;/home/videogames/dataset/cytoid/Assets/Packages/Tayx/Graphy - Ultimate Stats Monitor/Scripts/Audio/G_AudioManager.cs;Field;GameObject;Tayx.Graphy.Audio.G_AudioManager.m_audioGraphGameObject;33;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Nodes/Textures/SamplerNode.cs;Field;GUIContent;AmplifyShaderEditor.SamplerNode.m_referenceContent;100;NO;YES;TP;1
/home/videogames/dataset/ss3d;/home/videogames/dataset/ss3d/Assets/Scripts/SS3D/Systems/Lobby/UI/LobbyReadyView.cs;Field;ToggleLabelButton;SS3D.Systems.Lobby.UI.LobbyReadyView._readyButton;18;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/UI/PanelControllers/SystemBarController.cs;Field;SystemPanelButton;AnyRPG.SystemBarController.achievementsButton;40;YES;YES;TP;
/home/videogames/dataset/simulator;/home/videogames/dataset/simulator/Assets/Scripts/Controllers/AgentController.cs;Field;Transform;AgentController.driverViewTransform;17;YES;YES;TP;
/home/videogames/dataset/anyrpgcore;/home/videogames/dataset/anyrpgcore/Assets/AnyRPG/Core/System/Scripts/Abilities/Effect/ChanneledEffectConfig.cs;Field;ChanneledEffectProperties;AnyRPG.ChanneledEffectConfig.effectProperties;10;NO;NO;FP;
/home/videogames/dataset/darkest-dungeon-unity;/home/videogames/dataset/darkest-dungeon-unity/Assets/Scripts/UI/Windows/CharacterWindow.cs;Field;CharCombatSkillPanel;CharacterWindow.charCombatSkillPanel;29;YES;YES;TP;
/home/videogames/dataset/battleofmages;/home/videogames/dataset/battleofmages/Assets/Scripts/UI/Scoreboard.cs;Field;Dictionary<IPlayer, ScoreboardRow>;BoM.UI.ScoreboardData.rows;12;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/Animancer/Examples/09 Animator Controllers/03 3D Game Kit/States/LandingState.cs;Field;ClipState.Transition;Animancer.Examples.AnimatorControllers.GameKit.LandingState._HardLanding;21;YES;YES;TP;
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/Commands/iTweenCommand.cs;Field;iTween.EaseType;Fungus.iTweenCommand.easeType;40;NO;NO;FP;
/home/videogames/dataset/fungus;/home/videogames/dataset/fungus/Assets/Fungus/Scripts/EventHandlers/Drag/DragEntered.cs;Field;GameObjectVariable;Fungus.DragEntered.targetRef;38;YES;YES;TP;
/home/videogames/dataset/lcc/;/home/videogames/dataset/lcc/Assets/Scripts/Util/DoubleClickButton.cs;Field;DoubleClickEvent;LccModel.DoubleClickButton.doubleClick;16;NO;YES;TP;1
/home/videogames/dataset/inputsystem/;/home/videogames/dataset/inputsystem/Packages/com.unity.inputsystem/InputSystem/Actions/InputActionReference.cs;Field;InputActionAsset;UnityEngine.InputSystem.InputActionReference.m_Asset;202;NO;YES;TP;1
/home/videogames/dataset/ballance/;/home/videogames/dataset/ballance/Assets/BallancePhysics/Assets/PhysicsLayerNames.cs;Field;GroupFilter[];BallancePhysics.PhysicsLayerNames.m_GroupFilter;24;NO;NO;FP;
/home/videogames/dataset/ecs-iaus-sytstem;/home/videogames/dataset/ecs-iaus-sytstem/Assets/Systems/PlayerCharacter System/Scripts/Characters/UI Scripts/StatsUI.cs;Field;List<Bar>;Stats.UI.StatsUI.manaBars;17;YES;YES;TP;
/home/videogames/dataset/ecs-iaus-sytstem/;/home/videogames/dataset/ecs-iaus-sytstem/Assets/Systems/Game Code/Spawning/Scripts/WorldNPCSpwan.cs;Field;List<CitizenNPC>;IAUS.NPCScriptableObj.WorldNPCSpwan.citizens;13;YES;YES;TP;
/home/videogames/dataset/ecs-iaus-sytstem;/home/videogames/dataset/ecs-iaus-sytstem/Assets/GameMaster.cs;Field;GameStates;DreamersIncStudios.MoonShot.GameMaster.state;27;YES;YES;TP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Nodes/Misc/AppendNode.cs;Field;WirePortDataType;AmplifyShaderEditor.AppendNode.m_selectedOutputType;17;YES;NO;FP;1
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/AmplifyShaderEditor/Plugins/Editor/Templates/TemplateMasterNode.cs;Field;TemplateCullModeModule;AmplifyShaderEditor.TemplateMasterNode.m_cullModeHelper;44;NO;NO;FP;
/home/videogames/dataset/fanren;/home/videogames/dataset/fanren/Assets/3rd/EasyTouchBundle/EasyTouchControls/Plugins/ETCDPad.cs;Field;OnMoveStartHandler;ETCDPad.onMoveStart;36;YES;YES;TP;
/home/videogames/dataset/com.unity.multiplayer.samples.coop;/home/videogames/dataset/com.unity.multiplayer.samples.coop/Assets/Scripts/Gameplay/GameState/ClientCharSelectState.cs;Field;NetworkCharSelection;Unity.BossRoom.Gameplay.GameState.ClientCharSelectState.m_NetworkCharSelection;31;YES;YES;TP;
